Instrument,EXPIR_DATE,PUT_CALL,STRIKE_PRC,CF_BID,CF_ASK,IMP_VOLT,DELTA,GAMMA,RHO,THETA,VEGA
/NDXp1725A6300.U,2025-04-17,6,16300,0.0,0.85,59.0587,-0.0015,0.0,-0.0021,-0.8846,0.0621
/NDXd1725A6325.U,2025-04-17,5,16325,2415.4,2608.3,71.3914,0.992,0.0,1.1628,-6.0247,0.3096
/NDXp1725A6325.U,2025-04-17,6,16325,0.0,0.85,58.4999,-0.0015,0.0,-0.0021,-0.8839,0.0622
/NDXd1725A6350.U,2025-04-17,5,16350,2384.0,2583.3,83.5023,0.979,0.0,1.1464,-14.1541,1.071
/NDXp1725A6350.U,2025-04-17,6,16350,0.0,0.85,57.9421,-0.0016,0.0,-0.0021,-0.8831,0.0622
/NDXd1725A6375.U,2025-04-17,5,16375,2370.6,2558.3,75.6825,0.987,0.0,1.1594,-8.9816,0.6027
/NDXp1725A6375.U,2025-04-17,6,16375,0.0,0.85,57.3851,-0.0016,0.0,-0.0022,-0.8824,0.0623
/NDXd1725A6400.U,2025-04-17,5,16400,2334.0,2533.3,74.5359,0.9863,0.0,1.1602,-9.2037,0.6026
/NDXp1725A6400.U,2025-04-17,6,16400,0.0,0.85,56.8289,-0.0016,0.0,-0.0022,-0.8816,0.0623
/NDXd1725A6410.U,2025-04-17,5,16410,2327.6,2523.4,64.6954,0.9949,0.0,1.1729,-4.2045,0.31
/NDXp1725A6410.U,2025-04-17,6,16410,0.0,0.9,57.0078,-0.0017,0.0,-0.0023,-0.9289,0.0623
/NDXd1725A6420.U,2025-04-17,5,16420,2315.2,2513.4,57.2873,0.9981,0.0,1.178,-2.3714,0.1455
/NDXp1725A6420.U,2025-04-17,6,16420,0.0,0.9,56.7857,-0.0017,0.0,-0.0023,-0.9286,0.0624
/NDXd1725A6425.U,2025-04-17,5,16425,2310.0,2508.4,55.796,0.9984,0.0,1.1788,-2.1868,0.0623
/NDXp1725A6425.U,2025-04-17,6,16425,0.0,0.9,56.6746,-0.0017,0.0,-0.0023,-0.9285,0.0624
/NDXd1725A6430.U,2025-04-17,5,16430,2305.0,2503.4,55.6598,0.9984,0.0,1.1792,-2.1843,0.0623
/NDXp1725A6430.U,2025-04-17,6,16430,0.0,0.9,56.5636,-0.0017,0.0,-0.0023,-0.9283,0.0624
/NDXd1725A6440.U,2025-04-17,5,16440,2294.7,2493.4,52.9805,0.9989,0.0,1.1806,-1.8935,0.0623
/NDXp1725A6440.U,2025-04-17,6,16440,0.0,0.9,56.3417,-0.0017,0.0,-0.0023,-0.928,0.0624
/NDXd1725A6450.U,2025-04-17,5,16450,2288.6,2483.4,65.2123,0.9937,0.0,1.174,-4.8394,0.3105
/NDXp1725A6450.U,2025-04-17,6,16450,0.0,0.9,56.12,-0.0017,0.0,-0.0023,-0.9277,0.0624
/NDXd1725A6460.U,2025-04-17,5,16460,2274.6,2473.4,51.6348,0.9991,0.0,1.1823,-1.788,0.0623
/NDXp1725A6460.U,2025-04-17,6,16460,0.0,0.9,55.8984,-0.0017,0.0,-0.0023,-0.9274,0.0624
/NDXd1725A6470.U,2025-04-17,5,16470,2265.3,2463.1,54.5717,0.9984,0.0,1.1821,-2.1638,0.0624
/NDXp1725A6470.U,2025-04-17,6,16470,0.0,0.9,55.6769,-0.0017,0.0,-0.0023,-0.9271,0.0624
/NDXd1725A6475.U,2025-04-17,5,16475,2260.0,2458.4,54.4359,0.9984,0.0,1.1824,-2.1613,0.0624
/NDXp1725A6475.U,2025-04-17,6,16475,0.0,0.9,55.5662,-0.0017,0.0,-0.0023,-0.927,0.0624
/NDXd1725A6480.U,2025-04-17,5,16480,2255.3,2453.4,56.0609,0.998,0.0,1.1821,-2.4226,0.1458
/NDXp1725A6480.U,2025-04-17,6,16480,0.0,0.9,55.4555,-0.0017,0.0,-0.0024,-0.9268,0.0624
/NDXd1725A6490.U,2025-04-17,5,16490,2245.3,2443.5,56.1428,0.9978,0.0,1.1826,-2.4976,0.1458
/NDXp1725A6490.U,2025-04-17,6,16490,0.0,0.95,55.4589,-0.0018,0.0,-0.0025,-0.9682,0.1458
/NDXd1725A6500.U,2025-04-17,5,16500,2235.4,2433.5,56.2245,0.9977,0.0,1.1832,-2.5725,0.1459
/NDXp1725A6500.U,2025-04-17,6,16500,0.0,0.25,49.3904,-0.0006,0.0,-0.0008,-0.3016,0.0242
/NDXd1725A6510.U,2025-04-17,5,16510,2225.4,2423.5,55.9636,0.9977,0.0,1.1839,-2.5677,0.1459
/NDXp1725A6510.U,2025-04-17,6,16510,0.0,0.95,54.9806,-0.0018,0.0,-0.0025,-0.9663,0.1458
/NDXd1725A6520.U,2025-04-17,5,16520,2217.7,2413.5,62.015,0.9945,0.0,1.1803,-4.2754,0.3109
/NDXp1725A6520.U,2025-04-17,6,16520,0.0,0.95,54.7417,-0.0018,0.0,-0.0025,-0.9654,0.1459
/NDXd1725A6525.U,2025-04-17,5,16525,2210.0,2408.5,53.8799,0.9983,0.0,1.1858,-2.231,0.0625
/NDXp1725A6525.U,2025-04-17,6,16525,0.0,0.95,54.6223,-0.0018,0.0,-0.0025,-0.9649,0.1459
/NDXd1725A6530.U,2025-04-17,5,16530,2210.4,2403.5,66.0808,0.9913,0.0,1.1766,-6.0434,0.3114
/NDXp1725A6530.U,2025-04-17,6,16530,0.0,0.95,54.5029,-0.0018,0.0,-0.0025,-0.9645,0.1459
/NDXd1725A6540.U,2025-04-17,5,16540,2196.3,2393.5,58.2614,0.9963,0.0,1.1842,-3.2706,0.1462
/NDXp1725A6540.U,2025-04-17,6,16540,0.0,0.95,54.2643,-0.0018,0.0,-0.0025,-0.9636,0.146
/NDXd1725A6550.U,2025-04-17,5,16550,2185.4,2383.5,54.9214,0.9977,0.0,1.1868,-2.5488,0.1461
/NDXp1725A6550.U,2025-04-17,6,16550,0.0,0.95,54.0258,-0.0018,0.0,-0.0025,-0.9627,0.146
/NDXd1725A6560.U,2025-04-17,5,16560,2175.4,2373.5,54.6612,0.9977,0.0,1.1875,-2.544,0.1461
/NDXp1725A6560.U,2025-04-17,6,16560,0.0,0.95,53.7875,-0.0019,0.0,-0.0025,-0.9617,0.146
/NDXd1725A6570.U,2025-04-17,5,16570,2171.3,2363.6,66.5933,0.9902,0.0,1.1778,-6.6782,0.3119
/NDXp1725A6570.U,2025-04-17,6,16570,0.0,1.0,53.7205,-0.0019,0.0,-0.0027,-1.0007,0.1461
/NDXd1725A6575.U,2025-04-17,5,16575,2160.0,2358.6,53.2446,0.9981,0.0,1.1892,-2.2979,0.1461
/NDXp1725A6575.U,2025-04-17,6,16575,0.0,1.0,53.6014,-0.0019,0.0,-0.0027,-1.0002,0.1461
/NDXd1725A6580.U,2025-04-17,5,16580,2155.4,2353.6,54.4834,0.9975,0.0,1.1887,-2.6142,0.1462
/NDXp1725A6580.U,2025-04-17,6,16580,0.0,1.0,53.4824,-0.0019,0.0,-0.0027,-0.9997,0.1461
